ORF,plate,date,row,col,distance
YOR202W,1,11/29/11,13,24,998.7206
YOR202W,12,12/09/11,12,1,937.0938
YOR202W,1,11/29/11,16,22,662.6635
YOR202W,3,11/19/11,1,23,617.9811
YOR202W,TS1-37,12/01/11,16,22,572.8668
YOR202W,1,11/29/11,9,1,542.8703
YOR202W,9,12/09/11,2,1,526.8261
YOR202W,9,12/09/11,10,1,489.6189
YOR202W,10,12/10/11,7,24,484.3891
YOR202W,14,12/11/11,16,22,480.4327
YOR202W,9,12/09/11,16,1,474.7344
YOR202W,13,12/11/11,1,23,467.6392
YOR202W,12,12/09/11,6,1,464.1768
YOR202W,9,12/09/11,6,1,461.0685
YOR202W,1,11/29/11,11,1,449.4227
YOR202W,TS1-37,12/01/11,1,3,449.3149
YOR202W,1,11/29/11,1,2,437.2813
YOR202W,TS1-37,12/01/11,16,8,436.7786
YOR202W,1,11/29/11,15,24,425.5945
YOR202W,TS2-37,12/01/11,7,24,424.1998
YOR202W,9,12/09/11,8,1,420.6896
YOR202W,9,12/09/11,3,24,410.7692
YOR202W,TS1-37,12/01/11,16,24,402.7010
YOR202W,1,11/29/11,16,2,400.9421
YOR202W,1,11/29/11,10,24,386.0907
YOR202W,TS1-37,12/01/11,1,20,376.4578
YOR202W,1,11/29/11,16,6,372.5601
YOR202W,10,12/10/11,15,24,369.1807
YOR202W,9,12/09/11,15,1,366.2030
YOR202W,9,12/09/11,1,15,360.0866
YOR202W,TS1-37,12/01/11,1,15,355.4724
YOR202W,TS1-37,12/01/11,1,11,351.5336
YOR202W,TS3-37,12/02/11,4,24,351.3417
YOR202W,1,11/29/11,16,18,351.2281
YOR202W,TS3-RT,12/02/11,16,21,350.6316
YOR202W,13,12/11/11,1,19,350.3487
YOR202W,TS1-37,12/01/11,1,23,350.0986
YOR202W,1,11/29/11,4,24,346.9299
YOR202W,14,12/11/11,16,2,346.2684
YOR202W,add4,4/26/12,10,24,337.9006
YOR202W,S1,11/19/11,4,2,337.4723
YOR202W,9,12/09/11,15,24,337.2361
YOR202W,TS1-37,12/01/11,16,6,337.2102
YOR202W,TS1-37,12/01/11,7,24,336.4707
YOR202W,add4,4/26/12,16,23,335.7284
YOR202W,TS1-37,12/01/11,1,6,335.4267
YOR202W,TS4-37,12/02/11,15,1,334.6696
YOR202W,1,11/29/11,15,1,328.9051
YOR202W,TS4-37,12/02/11,5,24,324.8084
YOR202W,1,11/29/11,1,3,322.4861
YOR202W,add4,4/26/12,15,24,318.6389
YOR202W,12,12/09/11,1,1,316.1303
YOR202W,S1,11/19/11,5,24,309.3276
YOR202W,11,12/10/11,15,1,307.7115
YOR202W,TS3-37,12/02/11,16,24,304.3889
YOR202W,TS4-37,12/02/11,8,24,304.2743
YOR202W,S1,11/19/11,8,10,303.6885
YOR202W,S1,11/19/11,6,20,302.0865
YOR202W,TS3-RT,12/02/11,16,15,301.2048
YOR202W,TS4-37,12/02/11,1,24,300.5668
YOR202W,1,11/29/11,16,8,300.4721
YOR202W,TS1-37,12/01/11,1,16,299.8197
YOR202W,add1,4/26/12,12,1,299.1413
YOR202W,TS1-37,12/01/11,14,24,297.4658
YOR202W,add4,4/26/12,16,24,295.3352
YOR202W,TS1-37,12/01/11,16,4,293.7786
YOR202W,1,11/29/11,5,24,293.3086
YOR202W,10,12/10/11,9,24,290.0023
YOR202W,TS4-37,12/02/11,1,22,288.7388
YOR202W,TS1-37,12/01/11,1,17,288.0967
YOR202W,TS4-37,12/02/11,15,24,287.6423
YOR202W,2,11/29/11,15,24,287.4735
YOR202W,add1,4/26/12,4,1,285.7158
YOR202W,2,11/29/11,15,1,284.6923
YOR202W,13,12/11/11,6,24,283.4914
YOR202W,add4,4/26/12,16,15,283.3668
YOR202W,S1,11/19/11,3,24,281.7442
YOR202W,S1,11/19/11,3,22,278.6932
YOR202W,S2,12/11/11,8,9,278.0406
YOR202W,TS1-37,12/01/11,9,1,277.1003
YOR202W,9,12/09/11,12,1,276.9776
YOR202W,TS2-37,12/01/11,1,3,275.2467
YOR202W,12,12/09/11,16,1,274.0970
YOR202W,TS1-37,12/01/11,4,24,273.9144
YOR202W,add1,4/26/12,8,1,272.6882
YOR202W,TS3-RT,12/02/11,16,23,272.4640
YOR202W,9,12/09/11,1,23,271.2450
YOR202W,S2,12/11/11,7,11,270.2980
YOR202W,10,12/10/11,16,24,267.8861
YOR202W,S1,11/19/11,12,24,267.0462
YOR202W,TS4-37,12/02/11,1,15,264.8848
YOR202W,1,11/29/11,11,24,263.9849
YOR202W,11,12/10/11,13,24,263.8512
YOR202W,14,12/11/11,16,12,263.2183
YOR202W,11,12/10/11,1,20,263.0045
YOR202W,S1,11/19/11,16,24,262.5682
YOR202W,TS4-37,12/02/11,1,6,262.2627
YOR202W,S1,11/19/11,13,24,260.5560
YOR202W,TS1-37,12/01/11,1,9,258.7583
YOR202W,3,11/19/11,16,22,258.3897
YOR202W,TS1-37,12/01/11,1,21,258.0865
YOR202W,11,12/10/11,1,1,256.7817
YOR202W,S1,11/19/11,2,24,256.2631
YOR202W,2,11/29/11,5,24,256.1267
YOR202W,S1,11/19/11,11,24,255.7699
YOR202W,6,11/30/11,15,24,255.0833
YOR202W,3,11/19/11,16,17,254.9480
YOR202W,TS3-37,12/02/11,8,24,254.9303
YOR202W,14,12/11/11,1,3,254.4893
YOR202W,12,12/09/11,1,9,253.9263
YOR202W,9,12/09/11,16,19,253.8247
YOR202W,1,11/29/11,16,14,253.7440
YOR202W,S1,11/19/11,7,24,251.6531
YOR202W,10,12/10/11,13,24,251.0386
YOR202W,rmkDM,06/18/12,1,3,249.6236
YOR202W,3,11/19/11,16,23,249.3516
YOR202W,TS2-37,12/01/11,16,20,248.7902
YOR202W,TS4-37,12/02/11,16,5,247.9599
YOR202W,S1,11/19/11,1,2,247.2309
YOR202W,TS4-RT,12/02/11,1,18,246.8470
YOR202W,S1,11/19/11,10,6,245.3249
YOR202W,11,12/10/11,1,19,244.1967
YOR202W,add1,4/26/12,2,1,243.5874
YOR202W,3,11/19/11,11,24,243.1425
YOR202W,add1,4/26/12,14,24,242.7610
YOR202W,11,12/10/11,1,21,242.6076
YOR202W,3,11/19/11,15,24,242.4173
YOR202W,9,12/09/11,1,12,241.8850
YOR202W,S1,11/19/11,4,19,241.4022
YOR202W,9,12/09/11,16,2,240.6552
YOR202W,7,11/30/11,4,24,240.4200
YOR202W,TS1-37,12/01/11,16,18,239.8792
YOR202W,1,11/29/11,16,24,238.1092
YOR202W,13,12/11/11,1,24,237.3492
YOR202W,add4,4/26/12,16,1,236.7143
YOR202W,TS4-RT,12/02/11,16,15,236.5472
YOR202W,TS1-37,12/01/11,1,22,236.3920
YOR202W,14,12/11/11,16,23,236.3379
YOR202W,TS1-37,12/01/11,1,5,236.2888
YOR202W,9,12/09/11,16,21,236.0128
YOR202W,S1,11/19/11,9,9,235.7122
YOR202W,TS4-RT,12/02/11,2,1,234.3007
YOR202W,7,11/30/11,6,24,234.0909
YOR202W,TS2-37,12/01/11,16,23,233.6658
YOR202W,1,11/29/11,3,24,232.9221
YOR202W,TS1-37,12/01/11,1,19,232.9161
YOR202W,9,12/09/11,14,1,232.4185
YOR202W,S1,11/19/11,10,24,232.2331
YOR202W,S1,11/19/11,14,10,231.9920
YOR202W,2,11/29/11,1,15,231.8693
YOR202W,3,11/19/11,5,24,231.8465
YOR202W,TS4-RT,12/02/11,16,5,231.2658
YOR202W,6,11/30/11,6,1,230.5646
YOR202W,4,11/29/11,3,1,230.1956
YOR202W,3,11/19/11,16,15,229.8850
YOR202W,TS4-37,12/02/11,1,10,229.7583
YOR202W,TS3-RT,12/02/11,16,2,229.3666
YOR202W,3,11/19/11,10,24,229.0763
YOR202W,S2,12/11/11,16,20,228.8961
YOR202W,6,11/30/11,16,14,228.8758
YOR202W,9,12/09/11,16,7,228.8531
YOR202W,6,11/30/11,16,22,228.8362
YOR202W,12,12/09/11,16,19,228.5163
YOR202W,TS2-37,12/01/11,16,15,228.4392
YOR202W,S2,12/11/11,16,18,228.2606
YOR202W,12,12/09/11,16,6,227.9757
YOR202W,5,11/30/11,16,23,227.7624
YOR202W,TS2-37,12/01/11,1,23,227.6045
YOR202W,TS3-37,12/02/11,9,24,227.5414
YOR202W,12,12/09/11,16,14,227.4078
YOR202W,TS1-37,12/01/11,16,10,227.3841
YOR202W,TS3-37,12/02/11,16,22,227.3664
YOR202W,rmkDM,06/18/12,1,1,227.2659
YOR202W,TS1-37,12/01/11,5,1,227.2621
YOR202W,6,11/30/11,13,24,227.0365
YOR202W,S1,11/19/11,14,24,227.0351
YOR202W,TS4-37,12/02/11,4,24,226.6758
YOR202W,1,11/29/11,13,1,226.5204
YOR202W,rmkDM,06/18/12,11,1,225.2863
YOR202W,TS4-RT,12/02/11,15,24,225.1598
YOR202W,1,11/29/11,1,18,224.7372
YOR202W,1,11/29/11,1,13,223.7730
YOR202W,S2,12/11/11,10,1,223.7383
YOR202W,11,12/10/11,1,2,223.4312
YOR202W,9,12/09/11,1,10,223.3091
YOR202W,1,11/29/11,1,1,223.2740
YOR202W,8,11/30/11,8,24,223.1586
YOR202W,3,11/19/11,6,1,223.0640
YOR202W,9,12/09/11,11,24,222.1484
YOR202W,TS1-37,12/01/11,16,16,222.0281
YOR202W,add4,4/26/12,16,4,222.0266
YOR202W,13,12/11/11,7,24,221.9096
YOR202W,9,12/09/11,16,5,221.7024
YOR202W,add1,4/26/12,14,1,221.6272
YOR202W,rmkDM,06/18/12,1,5,221.2478
YOR202W,6,11/30/11,1,19,220.9821
YOR202W,S1,11/19/11,14,6,220.3891
YOR202W,S2,12/11/11,16,5,220.2926
YOR202W,5,11/30/11,12,1,220.0283
YOR202W,TS4-37,12/02/11,16,14,219.7526
YOR202W,TS4-37,12/02/11,16,23,219.6553
YOR202W,TS4-RT,12/02/11,16,3,219.5514
YOR202W,6,11/30/11,16,24,219.2872
YOR202W,add1,4/26/12,16,2,217.8090
YOR202W,TS2-RT,12/01/11,16,10,217.7752
YOR202W,TS4-37,12/02/11,7,1,217.4644
YOR202W,10,12/10/11,1,13,217.0780
YOR202W,11,12/10/11,8,1,216.9624
YOR202W,TS2-37,12/01/11,16,9,216.8003
YOR202W,6,11/30/11,10,1,216.5763
YOR202W,add1,4/26/12,5,1,216.4876
YOR202W,6,11/30/11,8,24,216.4482
YOR202W,2,11/29/11,16,4,216.3767
YOR202W,S1,11/19/11,1,20,216.3065
YOR202W,11,12/10/11,4,24,215.8722
YOR202W,6,11/30/11,16,18,215.2923
YOR202W,S2,12/11/11,4,1,215.2123
YOR202W,S1,11/19/11,13,23,215.1299
YOR202W,6,11/30/11,16,1,215.0024
YOR202W,5,11/30/11,1,9,214.7296
YOR202W,12,12/09/11,16,18,214.7083
YOR202W,TS4-37,12/02/11,1,20,214.6874
YOR202W,10,12/10/11,3,24,214.4266
YOR202W,6,11/30/11,16,2,214.2458
YOR202W,9,12/09/11,1,1,214.0142
YOR202W,8,11/30/11,16,20,213.9377
YOR202W,2,11/29/11,1,12,213.6219
YOR202W,S2,12/11/11,16,16,213.5893
YOR202W,1,11/29/11,16,20,213.4625
YOR202W,add4,4/26/12,13,1,213.4191
YOR202W,rmkDM,06/18/12,1,13,213.2998
YOR202W,S1,11/19/11,11,1,213.2829
YOR202W,12,12/09/11,11,24,212.8070
YOR202W,5,11/30/11,16,9,212.5901
YOR202W,7,11/30/11,10,1,211.8021
YOR202W,10,12/10/11,4,24,211.6576
YOR202W,5,11/30/11,4,1,211.3671
YOR202W,TS4-RT,12/02/11,16,21,211.2744
YOR202W,11,12/10/11,9,1,211.2091
YOR202W,S2,12/11/11,2,8,211.2065
YOR202W,add4,4/26/12,16,2,211.1253
YOR202W,TS1-RT,12/01/11,16,17,210.9877
YOR202W,add4,4/26/12,16,9,210.9078
YOR202W,rmkDM,06/18/12,1,12,210.8831
YOR202W,TS2-RT,12/01/11,10,1,210.6947
YOR202W,TS4-RT,12/02/11,1,8,210.5367
YOR202W,TS4-37,12/02/11,16,20,210.5144
YOR202W,TS3-37,12/02/11,7,24,210.4920
YOR202W,7,11/30/11,12,1,210.4909
YOR202W,5,11/30/11,6,1,210.3708
YOR202W,TS2-37,12/01/11,16,17,210.3589
YOR202W,5,11/30/11,10,1,210.3507
YOR202W,TS4-RT,12/02/11,16,17,210.0624
YOR202W,3,11/19/11,16,19,209.7120
YOR202W,S1,11/19/11,11,2,209.6402
YOR202W,7,11/30/11,16,20,209.4283
YOR202W,add4,4/26/12,8,1,209.3956
YOR202W,S2,12/11/11,2,21,208.5444
YOR202W,S2,12/11/11,16,4,208.4581
YOR202W,TS4-37,12/02/11,1,8,208.4052
YOR202W,TS4-37,12/02/11,1,9,208.1977
YOR202W,4,11/29/11,4,1,208.0569
YOR202W,6,11/30/11,16,13,207.9728
YOR202W,TS4-37,12/02/11,9,24,207.4873
YOR202W,10,12/10/11,1,18,207.3006
YOR202W,2,11/29/11,1,17,207.1337
YOR202W,7,11/30/11,12,24,206.9050
YOR202W,S1,11/19/11,15,22,206.6870
YOR202W,add4,4/26/12,1,22,206.5309
YOR202W,3,11/19/11,2,24,206.4716
YOR202W,1,11/29/11,16,5,206.4311
YOR202W,2,11/29/11,2,24,206.4259
YOR202W,14,12/11/11,15,3,206.3579
YOR202W,TS1-37,12/01/11,16,12,206.3191
YOR202W,TS2-37,12/01/11,1,6,205.8879
YOR202W,3,11/19/11,16,7,205.7479
YOR202W,7,11/30/11,16,24,205.4841
YOR202W,TS4-37,12/02/11,1,23,205.4731
YOR202W,9,12/09/11,13,24,205.3929
YOR202W,S1,11/19/11,15,4,205.3413
YOR202W,1,11/29/11,16,16,205.3131
YOR202W,7,11/30/11,1,23,205.0989
YOR202W,TS2-37,12/01/11,13,24,204.9333
YOR202W,7,11/30/11,15,24,204.9221
YOR202W,add1,4/26/12,16,18,204.8068
YOR202W,7,11/30/11,16,1,204.3569
YOR202W,TS1-37,12/01/11,1,24,204.2878
YOR202W,TS1-37,12/01/11,8,24,204.2725
YOR202W,7,11/30/11,2,24,203.9267
YOR202W,6,11/30/11,2,1,203.7762
YOR202W,rmkDM,06/19/12,8,1,203.7318
YOR202W,6,11/30/11,6,24,203.6916
YOR202W,11,12/10/11,9,24,203.6851
YOR202W,5,11/30/11,2,1,203.6648
YOR202W,S2,12/11/11,8,16,203.5763
YOR202W,TS4-37,12/02/11,16,3,203.4034
YOR202W,TS2-37,12/01/11,1,15,203.3985
YOR202W,TS1-RT,12/01/11,3,1,203.3646
YOR202W,12,12/09/11,1,20,203.2753
YOR202W,12,12/09/11,1,7,203.0823
YOR202W,TS2-RT,12/01/11,16,24,203.0439
YOR202W,rmkDM,06/19/12,14,1,203.0193
YOR202W,add4,4/26/12,14,1,202.9214
YOR202W,S1,11/19/11,15,24,202.5845
YOR202W,TS1-37,12/01/11,3,24,202.5745
YOR202W,TS4-RT,12/02/11,5,24,202.5047
YOR202W,8,11/30/11,2,1,202.0628
YOR202W,add1,4/26/12,3,24,202.0121
YOR202W,TS1-RT,12/01/11,16,15,201.5919
YOR202W,6,11/30/11,16,3,201.4769
YOR202W,14,12/11/11,16,15,201.2464
YOR202W,add4,4/26/12,7,1,201.1277
YOR202W,TS1-37,12/01/11,1,13,200.9158
YOR202W,5,11/30/11,16,10,200.8180
YOR202W,5,11/30/11,16,13,200.6533
YOR202W,TS2-RT,12/01/11,16,16,200.6499
YOR202W,14,12/11/11,1,23,200.5557
YOR202W,9,12/09/11,3,1,200.4270
YOR202W,6,11/30/11,8,1,200.2220
YOR202W,S1,11/19/11,1,8,200.1403
YOR202W,TS1-RT,12/01/11,5,1,199.8262
YOR202W,add1,4/26/12,10,24,199.7652
YOR202W,S1,11/19/11,1,22,199.4599
YOR202W,TS3-RT,12/02/11,1,17,199.3838
YOR202W,TS3-RT,12/02/11,1,12,199.3692
YOR202W,12,12/09/11,7,24,199.2770
YOR202W,10,12/10/11,5,1,199.1043
YOR202W,7,11/30/11,16,8,199.0757
YOR202W,TS2-RT,12/01/11,16,8,199.0644
YOR202W,9,12/09/11,1,21,198.9586
YOR202W,TS1-RT,12/01/11,6,1,198.6102
YOR202W,13,12/11/11,16,2,198.3382
YOR202W,rmkDM,06/18/12,1,4,198.2431
YOR202W,TS1-37,12/01/11,1,4,198.1795
YOR202W,TS1-37,12/01/11,13,24,198.1496
YOR202W,2,11/29/11,4,24,198.1060
YOR202W,11,12/10/11,16,21,198.0223
YOR202W,2,11/29/11,1,13,197.9030
YOR202W,TS2-37,12/01/11,9,24,197.8991
YOR202W,TS3-RT,12/02/11,15,1,197.4134
YOR202W,TS1-RT,12/01/11,8,1,197.2685
YOR202W,11,12/10/11,7,1,197.2405
YOR202W,2,11/29/11,1,1,197.0927
YOR202W,2,11/29/11,1,6,196.9553
YOR202W,6,11/30/11,4,24,196.8682
YOR202W,add1,4/26/12,16,24,196.8468
YOR202W,11,12/10/11,1,22,196.8278
YOR202W,6,11/30/11,16,8,196.7922
YOR202W,7,11/30/11,16,16,196.7186
YOR202W,S1,11/19/11,1,24,196.7128
YOR202W,6,11/30/11,10,24,196.6733
YOR202W,S1,11/19/11,16,22,196.3478
YOR202W,3,11/19/11,16,16,196.2416
YOR202W,S2,12/11/11,11,10,196.1975
YOR202W,rmkDM,06/18/12,1,15,196.0767
YOR202W,6,11/30/11,14,24,196.0028
YOR202W,6,11/30/11,2,24,195.8965
YOR202W,7,11/30/11,16,12,195.7256
YOR202W,TS1-RT,12/01/11,11,1,195.6757
YOR202W,rmkDM,06/19/12,12,1,195.5626
YOR202W,TS3-RT,12/02/11,1,7,195.5181
YOR202W,S1,11/19/11,11,14,195.3414
YOR202W,8,11/30/11,16,13,194.6436
YOR202W,12,12/09/11,1,5,194.3264
YOR202W,6,11/30/11,16,11,194.2309
YOR202W,10,12/10/11,1,6,194.1866
YOR202W,12,12/09/11,1,3,194.1249
YOR202W,7,11/30/11,16,14,194.0836
YOR202W,6,11/30/11,14,1,193.9144
YOR202W,10,12/10/11,1,23,193.5311
YOR202W,9,12/09/11,16,3,193.5258
YOR202W,8,11/30/11,16,8,193.3188
YOR202W,S1,11/19/11,1,5,193.0012
YOR202W,1,11/29/11,1,17,192.8244
YOR202W,S1,11/19/11,1,11,192.8041
YOR202W,TS2-37,12/01/11,3,24,192.7419
YOR202W,add1,4/26/12,4,24,192.7195
YOR202W,rmkDM,06/19/12,16,12,192.7104
YOR202W,rmkDM,06/18/12,7,24,192.5980
YOR202W,S1,11/19/11,9,11,192.3077
YOR202W,rmkDM,06/19/12,10,1,192.1776
YOR202W,6,11/30/11,16,5,192.1353
YOR202W,rmkDM,06/18/12,1,14,192.0006
YOR202W,S1,11/19/11,1,6,191.9549
YOR202W,4,11/29/11,5,1,191.7722
YOR202W,add4,4/26/12,8,24,191.7413
YOR202W,TS4-37,12/02/11,13,24,191.5205
YOR202W,TS4-RT,12/02/11,16,20,191.2628
YOR202W,TS3-37,12/02/11,13,24,191.2261
YOR202W,rmkDM,06/18/12,1,9,191.2220
YOR202W,6,11/30/11,16,19,191.2204
YOR202W,add4,4/26/12,12,1,191.1110
YOR202W,7,11/30/11,16,5,191.0793
YOR202W,rmkDM,06/18/12,1,7,190.9443
YOR202W,TS1-RT,12/01/11,7,1,190.1593
YOR202W,TS2-37,12/01/11,1,1,190.1269
YOR202W,rmkDM,06/18/12,1,2,189.9413
YOR202W,TS1-RT,12/01/11,16,2,189.8609
YOR202W,TS2-37,12/01/11,1,12,189.7985
YOR202W,add1,4/26/12,10,1,189.6790
YOR202W,6,11/30/11,4,1,189.1704
YOR202W,add4,4/26/12,3,1,189.0104
YOR202W,rmkDM,06/19/12,16,6,188.8366
YOR202W,TS2-37,12/01/11,1,21,188.8301
YOR202W,13,12/11/11,11,24,188.7868
YOR202W,1,11/29/11,5,1,188.7026
YOR202W,rmkDM,06/19/12,16,1,188.4712
YOR202W,TS2-RT,12/01/11,16,22,188.4171
YOR202W,TS4-37,12/02/11,9,1,188.3995
YOR202W,S1,11/19/11,16,21,188.1418
YOR202W,1,11/29/11,9,24,188.0632
YOR202W,TS4-RT,12/02/11,16,6,187.9244
YOR202W,S1,11/19/11,16,6,187.8957
YOR202W,TS1-37,12/01/11,16,21,187.8212
YOR202W,TS2-RT,12/01/11,7,1,187.6989
YOR202W,TS4-RT,12/02/11,16,10,187.6509
YOR202W,rmkDM,06/19/12,16,10,187.4135
YOR202W,7,11/30/11,14,1,187.1863
YOR202W,6,11/30/11,16,16,187.1741
YOR202W,1,11/29/11,1,10,187.0432
YOR202W,8,11/30/11,16,2,186.8496
YOR202W,rmkDM,06/18/12,1,21,186.8041
YOR202W,TS3-37,12/02/11,16,21,186.6275
YOR202W,S2,12/11/11,8,11,186.5196
YOR202W,6,11/30/11,16,6,186.4577
YOR202W,TS3-37,12/02/11,16,5,186.2794
YOR202W,7,11/30/11,16,6,186.1076
YOR202W,6,11/30/11,1,24,186.0494
YOR202W,TS1-RT,12/01/11,12,1,185.5798
YOR202W,6,11/30/11,16,12,185.5470
YOR202W,14,12/11/11,14,24,185.3908
YOR202W,add4,4/26/12,16,8,185.3177
YOR202W,add1,4/26/12,13,24,185.1889
YOR202W,11,12/10/11,16,22,185.1639
YOR202W,4,11/29/11,16,23,185.1516
YOR202W,7,11/30/11,1,18,185.1191
YOR202W,S1,11/19/11,5,12,185.0690
YOR202W,4,11/29/11,16,12,185.0296
YOR202W,8,11/30/11,10,1,184.9791
YOR202W,S1,11/19/11,9,19,184.4367
YOR202W,TS4-37,12/02/11,6,1,184.4041
YOR202W,TS2-37,12/01/11,2,1,184.2999
YOR202W,5,11/30/11,16,1,184.1158
YOR202W,S1,11/19/11,8,1,183.9489
YOR202W,S2,12/11/11,1,6,183.9462
YOR202W,14,12/11/11,8,24,183.8933
YOR202W,TS2-RT,12/01/11,16,14,183.7478
YOR202W,S1,11/19/11,16,8,183.7281
YOR202W,6,11/30/11,12,24,183.5292
YOR202W,TS1-RT,12/01/11,4,1,183.4792
YOR202W,rmkDM,06/18/12,1,19,183.4259
YOR202W,11,12/10/11,2,24,183.1385
YOR202W,7,11/30/11,16,3,183.1361
YOR202W,9,12/09/11,1,3,183.1187
YOR202W,7,11/30/11,16,7,183.1152
YOR202W,5,11/30/11,16,12,182.9242
